branch	sha12	reason
task/iter-107-batch-c107	a701356d544a	exploration-pruned-keep10
task/iter-107-batch-c107-fix	8ec83012d952	exploration-pruned-keep10
task/iter-107-batch-c107-fix-d1	4edf8d072c40	ledger-stale
task/iter-107-batch-c107-fix-d1-dual	f6f875e87446	exploration-pruned-keep10
task/iter-108-batch-c108	36460982a809	merged-into-main
task/iter-109-batch-c109	68db045b6d9a	ledger-stale
task/iter-109-batch-c109-dual	75da1ff59a93	exploration-pruned-keep10
task/iter-110-batch-c110	fe7f90529f00	exploration-pruned-keep10
task/iter-110-batch-c110-fix	3043e802b9cf	merged-into-main
task/iter-111-batch-c111	db6134778069	ledger-stale
task/iter-111-batch-c111-dual	d252067d4820	exploration-pruned-keep10
task/iter-112-batch-c112	ea4f108590b0	exploration-pruned-keep10
task/iter-112-batch-c112-fix	2f00967e9275	exploration-pruned-keep10
task/iter-112-batch-c112-fix-d1	42ac39a1715b	merged-into-main
task/iter-113-batch-c113	d0a9a9b7a1d1	exploration-pruned-keep10
task/iter-113-batch-c113-fix	1798fef84b3a	exploration-pruned-keep10
task/iter-113-batch-c113-fix-d1	8637fc1c77ee	exploration-pruned-keep10
task/iter-113-batch-c113-fix-d1-d2	ebfccd367e41	ledger-stale
task/iter-113-batch-c113-fix-d1-d2-dual	b1b483af781d	ledger-stale
task/iter-114-batch-c114	1da2f32125e3	exploration-pruned-keep10
task/iter-114-batch-c114-fix	fd3a78ea929a	exploration-pruned-keep10
task/iter-114-batch-c114-fix-d1	399153243605	exploration-pruned-keep10
task/iter-114-batch-c114-fix-d1-d2	65d1d7555b17	merged-into-main
task/iter-115-batch-c115	ce4357a254fb	exploration-pruned-keep10
task/iter-115-batch-c115-fix	94c5ed712d84	exploration-pruned-keep10
task/iter-115-batch-c115-fix-d1	1bbc744e42f9	ledger-superseded
task/iter-115-batch-c115-fix-d1-dual	723c7670e766	exploration-pruned-keep10
task/iter-116-batch-c116	79dbcb15300d	exploration-pruned-keep10
task/iter-116-batch-c116-fix	baa743c6004d	exploration-pruned-keep10
task/iter-116-batch-c116-fix-d1	87c75b57cceb	merged-into-main
task/iter-117-batch-c117	04034027557f	exploration-pruned-keep10
task/iter-117-batch-c117-fix	b5adb1ae5611	exploration-pruned-keep10
task/iter-117-batch-c117-fix-dual	4221113ba020	exploration-pruned-keep10
task/iter-118-batch-c118	8bc0b41e9a39	merged-into-main
task/iter-119-batch-c119	eab788b8041e	exploration-pruned-keep10
task/iter-119-batch-c119-fix	3531789b46c5	ledger-stale
task/iter-119-batch-c119-fix-dual	a1973a813b95	exploration-pruned-keep10
task/iter-119-cogmap-anchor-fix2	e7ce89367ee6	merged-into-main
task/iter-120-batch-c120	0e301dd3de85	exploration-pruned-keep10
task/iter-120-batch-c120-fix	cec3f654b556	exploration-pruned-keep10
task/iter-120-batch-c120-fix-d1	95b61dc865f1	merged-into-main
task/iter-121-batch-c121	daa4654c68a8	exploration-pruned-keep10
task/iter-121-batch-c121-fix	43c1c3f13ca1	ledger-stale
task/iter-121-batch-c121-fix-dual	2667e6c2f420	ledger-stale
task/iter-122-batch-c122	f3decdc181f3	exploration-pruned-keep10
task/iter-122-batch-c122-fix	ac9f1b0ee889	exploration-pruned-keep10
task/iter-122-batch-c122-fix-d1	376946b9a268	exploration-pruned-keep10
task/iter-122-batch-c122-fix-d1-d2	79664e44ec78	exploration-pruned-keep10
task/iter-123-batch-c123	5a933d6dcd9d	exploration-pruned-keep10
task/iter-123-batch-c123-fix	854a8db6f38b	merged-into-main
task/iter-124-batch-c124	c1ebd1d102f2	exploration-pruned-keep10
task/iter-124-batch-c124-fix	288a81d312df	merged-into-main
task/iter-125-batch-c125	3937c59207d3	ledger-stale
task/iter-125-batch-c125-dual	c660925f8248	exploration-pruned-keep10
task/iter-126-batch-c126	cabfc4389c25	exploration-pruned-keep10
task/iter-126-batch-c126-fix	700a79dbd071	exploration-pruned-keep10
task/iter-126-batch-c126-fix-d1	5fd2916f5394	merged-into-main
task/iter-127-batch-c127	3b39489edc28	exploration-pruned-keep10
task/iter-127-batch-c127-fix	87fe0e66f263	exploration-pruned-keep10
task/iter-127-batch-c127-fix-d1	d7f75ad9e60d	ledger-stale
task/iter-127-batch-c127-fix-d1-dual	b5944f83d241	ledger-stale
task/iter-128-batch-c128	b231df27779f	merged-into-main
task/iter-129-batch-c129	92a1ed19044c	exploration-pruned-keep10
task/iter-129-batch-c129-fix	c769828c2fac	exploration-pruned-keep10
task/iter-129-batch-c129-fix-d1	29fb190e3bab	ledger-stale
task/iter-129-batch-c129-fix-d1-dual	52f8411d1a11	exploration-pruned-keep10
task/iter-130-batch-c130	1acb0aa1c70b	merged-into-main
task/iter-131-batch-c131	e5b893a93c36	exploration-pruned-keep10
task/iter-131-batch-c131-fix	7491096c2fb5	exploration-pruned-keep10
task/iter-131-batch-c131-fix-d1	75d78d5e1362	ledger-stale
task/iter-131-batch-c131-fix-d1-dual	23419b45ea23	exploration-pruned-keep10
task/iter-132-batch-c132	8b95dc9d2936	exploration-pruned-keep10
task/iter-132-batch-c132-fix	a589e6241f35	exploration-pruned-keep10
task/iter-132-batch-c132-fix-d1	987efea5960d	ledger-stale
task/iter-132-batch-c132-fix-d1-dual	480a9afc7deb	merged-into-main
